Nom;Liste des attributs;Identifiant produit;ean13;Nom catégorie par défaut;wholesale_price;Prix de vente HT;Prix de vente TTC avant remises;Montant de la remise;Prix barré TTC;Prix de vente TTC final;;Identifiant déclinaison;ean13 décl.;Référence déclinaison;Impact sur prix de vente (HT/TTC suivant PS version);Impact sur prix de vente TTC
 BIG POCHETTE TROPEZ MARINE 2025;;1;2032313697903;POCHETTE;8,050000;16,666667;20,00;;20,00;20,00;;;;;;
ABSOLU VERRE 38 CL;;4;2055225476183;VERRE;2,760000;8,333333;10,00;;10,00;10,00;;;;;;
ACCROCHE SAC SAINT TROPEZ;;5;0550487647231;ART DE LA TABLE;3,350000;8,333333;10,00;;10,00;10,00;;;;;;
AFFICHE JOHNY;;6;2042923730600;DIVERS;4,500000;8,333333;10,00;;10,00;10,00;;;;;;
AIR BEACH G&T  UNI;;7;2031342681815;VERRE;3,300000;8,333333;10,00;;10,00;10,00;;;;;;
AIR BEACH G&T CLEAR TROPEZ;;8;2095513267659;VERRE;2,690000;8,333333;10,00;;10,00;10,00;;;;;;
AIR BEACH G&T CLEAR UNI;;9;2019879283993;VERRE;3,210000;8,333333;10,00;;10,00;10,00;;;;;;
AIR BEACH G&T TROPEZ;;10;2007117863564;VERRE;2,690000;8,333333;10,00;;10,00;10,00;;;;;;
AIR BEACH KRAFT;;11;2067139247698;VERRE;3,590000;8,333333;10,00;;10,00;10,00;;;;;;
ARTICLE DIVERS;;12;2034154634352;BRADERIE;;4,166667;5,00;;5,00;5,00;;3065;;;;
ASSIETTE 24 TROPEZ;;13;2010991311731;ASSIETTE;2,100000;7,083333;8,50;;8,50;8,50;;;;;;
ASSIETTE 24 UNI;;14;2030047740469;ASSIETTE;2,100000;7,083333;8,50;;8,50;8,50;;;;;;
ASSIETTE 27 CM CLEAR BLEUE;;15;2066917316700;ASSIETTE;;7,083333;8,50;;8,50;8,50;;;;;;
ASSIETTE 27 CM CLEAR UNI;;16;2021635912405;ASSIETTE;;7,083333;8,50;;8,50;8,50;;;;;;
ASSIETTE 27 TROPEZ;;17;2085279702822;ASSIETTE;2,300000;7,083333;8,50;;8,50;8,50;;;;;;
ASSIETTE 27 UNI;;18;2080063326079;ASSIETTE;2,100000;7,083333;8,50;;8,50;8,50;;;;;;
ASSIETTE CREUSE BEBE;;19;2077859782911;ENFANT;2,000000;16,666667;20,00;;20,00;20,00;;;;;;
ASSIETTE VICHY APERITIF I LOVE YOU;;20;4515212793634;ASSIETTE;4,500000;10,000000;12,00;;12,00;12,00;;;;;;
BABY GOURDE BLANCHE;;21;;ENFANT;6,200000;12,500000;15,00;;15,00;15,00;;;;;;
BABY GOURDE BLEUE;;22;2068105699275;ENFANT;6,200000;12,500000;15,00;;15,00;15,00;;;;;;
BABY GOURDE MAUVE;;23;;ENFANT;6,200000;12,500000;15,00;;15,00;15,00;;;;;;
BABY GOURDE ROSE;;24;2066924124961;ENFANT;6,200000;12,500000;15,00;;15,00;15,00;;;;;;
BAGUE ACIER 1000-80;;25;2029892945952;BIJOUX;5,450000;12,500000;15,00;;15,00;15,00;;;;;;
BAGUE ACIER 1500-80;;26;2029718609327;BIJOUX;5,450000;12,500000;15,00;;15,00;15,00;;;;;;
BAGUE ACIER 1600-80;;27;2010767820023;BIJOUX;5,450000;12,500000;15,00;;15,00;15,00;;;;;;
BAGUE ACIER 2000-80;;28;2079497052586;BIJOUX;7,450000;16,666667;20,00;;20,00;20,00;;;;;;
BAGUE ACIER 2600-80;;29;2038690781679;BIJOUX;7,450000;16,666667;20,00;;20,00;20,00;;;;;;
BALLON FOOT;;30;2028944819623;PLAGE JEUX DIVERS;3,000000;8,333333;10,00;;10,00;10,00;;;;;;
BALLON GONFLABLE;;31;2074058587156;PLAGE JEUX DIVERS;0,500000;1,666667;2,00;;2,00;2,00;;;;;;
